"RunFile";"WhdloadSlaveFlags";"WhdloadReadmeAppliesTo";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveExpMem";"ArchiveFile";"EntryName";"RunDir";"WhdloadSlaveExecInstall";"RunType";"WhdloadSlaveBaseMemSize";"EntrySize";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation";"AssignName";"SetName"
"AstroMarineCorps\AstroMarineCorps.Slave";"NoError, NoKbd";"Astro Marine Corps by Dinamic (c) 1990 - 2 disks.";"Astro Marine Corps";"1990 Dinamic";"0";"A\AstroMarineCorps_v1.2.lha";"AstroMarineCorps";"AstroMarineCorps";"0";"whdload";"524288";"1463004";"AstroMarineCorps";"OCS/ECS";"";"";"";"";"";"A-Games";"Games"
"ATF2\ATF2.Slave";"NoError, EmulTrap, NoDivZero, ClearMem";"Advanced Tactical Fighter II/ATF II ? 1990 Digital Integration.";"Advanted Tactical Fighter II/Atf 2";"1990 Digital Integration";"0";"A\ATF2_v1.1a_2396.lha";"ATF2";"ATF2";"0";"whdload";"524288";"1013448";"ATF2";"OCS/ECS";"";"";"";"";"";"A-Games";"Games"
"AtlantydaPl\AtlantydaPl.slave";"NoError";"Atlantyda ? 1994 Twin Spark Soft.";"Atlantyda";"1994 Twin Spark Soft";"0";"A\Atlantyda_v1.1_Pl.lha";"AtlantydaPl";"AtlantydaPl";"0";"whdload";"524288";"924981";"Atlantyda";"OCS/ECS";"Pl";"";"";"";"";"A-Games";"Games"
"AtomicRoboKid\AtomicRoboKid.Slave";"NoError, EmulTrap, NoKbd";"Atomic RoboKid by Activision (c) 1990 - 2 disks.";"Atomic RoboKid";"1990 Activision";"0";"A\AtomicRoboKid_v1.5_2243.lha";"AtomicRoboKid";"AtomicRoboKid";"0";"whdload";"524288";"1825392";"AtomicRoboKid";"OCS/ECS";"";"";"";"";"";"A-Games";"Games"
"Atomino\Atomino.slave";"NoError, EmulTrap";"Atomino (c) 1991 Play Byte/Psygnosis. German version,";"Atomino";"1991 Play Byte";"0";"A\Atomino_v1.11_0632.lha";"Atomino";"Atomino";"0";"whdload";"524288";"732782";"Atomino";"OCS/ECS";"";"";"";"";"";"A-Games";"Games"
"AtominoDe\AtominoDe.slave";"NoError, EmulTrap";"Atomino (c) 1991 Play Byte/Psygnosis. German version,";"Atomino";"1991 Play Byte";"0";"A\Atomino_v1.11_De.lha";"AtominoDe";"AtominoDe";"0";"whdload";"524288";"732697";"Atomino";"OCS/ECS";"De";"";"";"";"";"A-Games";"Games"
"AtominoNTSC\AtominoNTSC.slave";"NoError, EmulTrap";"Atomino (c) 1991 Play Byte/Psygnosis. German version,";"Atomino";"1991 Play Byte";"0";"A\Atomino_v1.11_NTSC_1972.lha";"AtominoNTSC";"AtominoNTSC";"0";"whdload";"524288";"734303";"Atomino";"OCS/ECS";"";"";"";"NTSC";"";"A-Games";"Games"
"Atomix\Atomix.Slave";"Disk, NoError, EmulTrap";"Atomix (c) 1990 Thalion.";"Atomix";"1990 Tale/Thalion";"0";"A\Atomix_v1.3_1356.lha";"Atomix";"Atomix";"0";"whdload";"524288";"790394";"Atomix";"OCS/ECS";"";"";"";"";"";"A-Games";"Games"
"AtomSmasher\AtomSmasher.Slave";"NoError, ClearMem";"Atom Smasher ? 1992 David Papworth";"Atom Smasher";"1992 David Papworth";"4096";"A\AtomSmasher_v1.0.lha";"AtomSmasher";"AtomSmasher";"0";"whdload";"401408";"303327";"AtomSmasher";"OCS/ECS";"";"";"";"";"";"A-Games";"Games"
"AuntArcticAdventure\AuntArcticAdventure.Slave";"NoError, EmulTrap, ClearMem";"Aunt Arctic Adventure ? 1988 Mindware.";"Aunt Arctic Adventure";"1988 Mindware";"0";"A\AuntArcticAdventure_v1.0_1757.lha";"AuntArcticAdventure";"AuntArcticAdventure";"0";"whdload";"524288";"961892";"AuntArcticAdventure";"OCS/ECS";"";"";"";"";"";"A-Games";"Games"
