"Year";"Url";"Id";"License";"Languages";"Disks";"Players";"Name";"Publisher";"Path";"Hardware";"Genre"
"1991";"http://www.lemonamiga.com/games/details.php?id=3578";"3578";"Commercial";"English";;"1 Only";"Snoopy: The Case of the Missing Blanket";"The Edge";"s\snoopy-the-case-of-the-missing-blanket";"CDTV";"Adventure - Miscellaneous"
"1991";"http://www.lemonamiga.com/games/details.php?id=2226";"2226";"Commercial";"English";"1";"1 Only";"Snow Bros.";"Ocean";"s\snow-bros";"OCS,ECS";"Platformer - Single Screen"
"1990";"http://www.lemonamiga.com/games/details.php?id=2279";"2279";"Commercial";"English";"1";"1 Only";"Snow Strike";"US Gold";"s\snow-strike";"OCS";"Simulation - Flight"
"1993";"http://www.lemonamiga.com/games/details.php?id=1236";"1236";"Commercial";"English,German,French,Italian,Spanish";"4";"1 Only";"Soccer Kid";"Krisalis";"s\soccer-kid";"OCS,ECS";"Platformer - Scrolling Screen"
"1993";"http://www.lemonamiga.com/games/details.php?id=1965";"1965";"Commercial";"English,German,French,Italian,Spanish";;"1 Only";"Soccer Kid";"Krisalis";"s\soccer-kid-cd32";"CD32";"Platformer - Scrolling Screen"
"1988";"http://www.lemonamiga.com/games/details.php?id=3514";"3514";"Commercial";"German";"1";"1 or 2, Simultaneous";"Soccer King";"Kingsoft";"s\soccer-king";"OCS";"Sports - Football/Soccer"
"1989";"http://www.lemonamiga.com/games/details.php?id=3536";"3536";"Commercial";"German";"1";"1 Only";"Soccer Manager Plus";"Starbyte Software";"s\soccer-manager-plus";"OCS";"Sports - Football/Soccer"
"1992";"http://www.lemonamiga.com/games/details.php?id=2187";"2187";"Commercial";"English";"1";"1 Only";"Soccer Pinball";"Codemasters";"s\soccer-pinball";"OCS,ECS";"Arcade - Pinball"
"1995";"http://www.lemonamiga.com/games/details.php?id=3020";"3020";"Commercial";"English,French,Italian,Spanish,Polish";;"1 or 2, Simultaneous";"Soccer Superstars";"Flair Software";"s\soccer-superstars-cd32";"CD32";"Sports - Football/Soccer"
"1987";"http://www.lemonamiga.com/games/details.php?id=3263";"3263";"Commercial";"English";"1";"1 Only";"Soccer Supremo";"Software Publishing Associates";"s\soccer-supremo";"OCS";"Sports - Football/Soccer"
"1994";"http://www.lemonamiga.com/games/details.php?id=3282";"3282";"Commercial";"German";"3";"1 to 4";"Software Manager";"Kaiko";"s\software-manager";"OCS,ECS";"Strategy - Company"
"1988";"http://www.lemonamiga.com/games/details.php?id=2913";"2913";"Commercial";"Spanish";"1";"1 Only";"Sol Negro";"Opera Soft";"s\sol-negro";"OCS";
"1988";"http://www.lemonamiga.com/games/details.php?id=977";"977";"Commercial";"English";"1";"1 Only";"Soldier of Light";"ACE";"s\soldier-of-light";"OCS";
"2013";"http://www.lemonamiga.com/games/details.php?id=3684";"3684";"Public Domain/Freeware";"English";"1";"1 Only";"Solid Gold";"(unknown)";"s\solid-gold";"OCS,ECS";"Platformer - Scrolling Screen"
"1988";"http://www.lemonamiga.com/games/details.php?id=3469";"3469";"Commercial";"English";"1";;"Solitaire Royale";"Spectrum HoloByte";"s\solitaire-royale";"OCS";"Cards - Solitaire"
"1992";"http://www.lemonamiga.com/games/details.php?id=3184";"3184";"Commercial";"English,French";"2";"1 Only";"Son Shu-Shi";"Expose Software";"s\son-shu-shi";"OCS,ECS";"Platformer - Scrolling Screen"
"1990";"http://www.lemonamiga.com/games/details.php?id=978";"978";"Commercial";"English";"1";"1 or 2";"Sonic Boom";"Activision";"s\sonic-boom";"OCS";
"1992";"http://www.lemonamiga.com/games/details.php?id=3406";"3406";"Promotional";"German";"1";"1 Only";"Sony Game";"Sony";"s\sony-game";"OCS,ECS";"Platformer - Multi Screen"
"1992";"http://www.lemonamiga.com/games/details.php?id=1237";"1237";"Commercial";"English";"1";"1 or 2, Simultaneous";"Sooty & Sweep";"Alternative Software";"s\sooty-sweep";"OCS,ECS";"Platformer - Multi Screen"
"1995";"http://www.lemonamiga.com/games/details.php?id=3496";"3496";"Commercial";"English";"1";"1 Only";"Sooty Paint";"Alternative Software";"s\sooty-paint";"OCS,ECS";"Educational - Children"
"1990";"http://www.lemonamiga.com/games/details.php?id=3528";"3528";"Commercial";"English";"1";"1 Only";"Sophelie";"New Deal Productions";"s\sophelie";"OCS";
"1986";"http://www.lemonamiga.com/games/details.php?id=2897";"2897";"Commercial";"English";"1";"1 Only";"Sorcerer";"Infocom";"s\sorcerer";"OCS";"Adventure - Text only"
"1988";"http://www.lemonamiga.com/games/details.php?id=1634";"1634";"Commercial";"English";"1";"1 Only";"Sorcerer Lord";"Personal Software Services (PSS)";"s\sorcerer-lord";"OCS";"Strategy - War"
