Year;Url;Path;License;Disks;Players;Name;Publisher;Language;Hardware;Genre;_Query
1987;http://www.lemonamiga.com/games/details.php?id=2515;s\sdi-strategic-defense-initiative;Commercial;1;1 or 2;SDI: Strategic Defense Initiative;Activision;English;OCS;;SDI: Strategic Defense Initiative Activision
1986;http://www.lemonamiga.com/games/details.php?id=2892;s\seastalker;Commercial;1;1 Only;Seastalker;Infocom;English;OCS;Adventure - Text only;Seastalker Infocom
1990;http://www.lemonamiga.com/games/details.php?id=2986;s\second-front-germany-turns-east;Commercial;1;1 or 2;Second Front: Germany Turns East;Strategic Simulations, Inc.;English;OCS;Strategy - War;Second Front: Germany Turns East Strategic Simulations, Inc.
1993;http://www.lemonamiga.com/games/details.php?id=934;s\second-samurai;Commercial;3;1 or 2, Simultaneous;Second Samurai;Psygnosis;English;OCS,ECS;;Second Samurai Psygnosis
1990;http://www.lemonamiga.com/games/details.php?id=3093;s\second-world-the;Commercial;2;1 to 4;Second World, The;Magic Bytes;German;OCS;Strategy - Miscellaneous;Second World, The Magic Bytes
1988;http://www.lemonamiga.com/games/details.php?id=2797;s\seconds-out;Commercial;1;1 Only;Seconds Out..!;Tynesoft;English;OCS;Sports - Boxing;Seconds Out..! Tynesoft
1991;http://www.lemonamiga.com/games/details.php?id=935;s\secret-of-monkey-island-the;Commercial;4;1 Only;Secret of Monkey Island, The;US Gold;English;OCS,ECS;Adventure - Point and Click;Secret of Monkey Island, The US Gold
1991;http://www.lemonamiga.com/games/details.php?id=936;s\secret-of-the-silver-blades;Commercial;2;1 Only;Secret of the Silver Blades;Strategic Simulations, Inc.;English;OCS,ECS;Adventure - RPG 2D;Secret of the Silver Blades Strategic Simulations, Inc.
1993;http://www.lemonamiga.com/games/details.php?id=937;s\seek-and-destroy-aga;Commercial;4;1 or 2;Seek and Destroy;Mindscape;English;ECS,AGA;;Seek and Destroy Mindscape
1994;http://www.lemonamiga.com/games/details.php?id=552;s\seek-and-destroy-cd32;Commercial;;1 or 2;Seek and Destroy;Mindscape;English;CD32;;Seek and Destroy Mindscape
1995;http://www.lemonamiga.com/games/details.php?id=2725;s\seelenturm-der-aga;Commercial;5;1 Only;Seelenturm, Der;Black Legend;German;AGA;Adventure - RPG 3D;Seelenturm, Der Black Legend
1995;http://www.lemonamiga.com/games/details.php?id=3222;s\sen;Commercial;3;1 Only;Sen;L.K. Avalon;Polish;OCS,ECS;Adventure - Miscellaneous;Sen L.K. Avalon
1995;http://www.lemonamiga.com/games/details.php?id=938;s\sensible-golf;Commercial;2;1 to 4;Sensible Golf;Virgin Interactive;English;OCS,ECS;Sports - Golf;Sensible Golf Virgin Interactive
1992;http://www.lemonamiga.com/games/details.php?id=941;s\sensible-soccer-v10;Commercial;2;1 or 2, Simultaneous;Sensible Soccer v1.0;Renegade;English,German,French,Italian;OCS,ECS;Sports - Football/Soccer;Sensible Soccer v1.0 Renegade
1992;http://www.lemonamiga.com/games/details.php?id=939;s\sensible-soccer-v11-european-champions;Commercial;2;1 or 2, Simultaneous;Sensible Soccer v1.1 - European Champions;Renegade;English,German,French,Italian;OCS,ECS;Sports - Football/Soccer;Sensible Soccer v1.1 - European Champions Renegade
1993;http://www.lemonamiga.com/games/details.php?id=540;s\sensible-soccer-v11-european-champions-cd32;Commercial;;1 or 2, Simultaneous;Sensible Soccer v1.1 - European Champions;Renegade;English,German,French,Italian;CD32;Sports - Football/Soccer;Sensible Soccer v1.1 - European Champions Renegade
1994;http://www.lemonamiga.com/games/details.php?id=1963;s\sensible-soccer-v12-international-edition-cd32;Commercial;;1 or 2, Simultaneous;Sensible Soccer v1.2 - International Edition;Renegade;English,German,French,Italian;CD32;Sports - Football/Soccer;Sensible Soccer v1.2 - International Edition Renegade
1994;http://www.lemonamiga.com/games/details.php?id=940;s\sensible-soccer-v12-international-edition;Commercial;2;1 or 2, Simultaneous;Sensible Soccer v1.2 - International Edition;Renegade;English,German,French,Italian;OCS,ECS;Sports - Football/Soccer;Sensible Soccer v1.2 - International Edition Renegade
1994;http://www.lemonamiga.com/games/details.php?id=945;s\sensible-world-of-soccer;Commercial;1;1 or 2, Simultaneous;Sensible World of Soccer;Renegade;English;OCS,ECS;Sports - Football/Soccer;Sensible World of Soccer Renegade
1995;http://www.lemonamiga.com/games/details.php?id=944;s\sensible-world-of-soccer-95-96;Commercial;2;1 or 2, Simultaneous;Sensible World of Soccer '95/'96;Renegade;English;OCS,ECS;Sports - Football/Soccer;Sensible World of Soccer '95/'96 Renegade
1996;http://www.lemonamiga.com/games/details.php?id=942;s\sensible-world-of-soccer-95-96-european-championship-edition;Commercial;2;1 or 2, Simultaneous;Sensible World of Soccer '95/'96 - European Championship Edition;Renegade;English;OCS,ECS;Sports - Football/Soccer;Sensible World of Soccer '95/'96 - European Championship Edition Renegade
