"WhdloadSlaveFlags";"WhdloadSize";"WhdloadSlaveFilePath";"ReadmeAppliesTo";"WhdloadSlaveExecInstall";"WhdloadName";"WhdloadSlaveName";"WhdloadSlaveCopy";"WhdloadSlaveBaseMemSize";"WhdloadPath";"FilteredName";"FilteredHardware";"FilteredLanguage";"FilteredMemory";"FilteredDemo";"FilteredOther";"FilteredCompilation";"Query"
"NoError, ClearMem, Examine";"4020481";"R\Reunion\Reunion.Slave";"Reunion ?1994 Grandslam";"0";"Reunion";"Reunion (ECS)";"1994 Grandslam";"458752";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Reunion";"OCS/ECS";"";"";"";"";"";"reunion"
"NoError, ClearMem, Examine";"4367377";"R\ReunionDe\ReunionDe.Slave";"Reunion ?1994 Grandslam";"0";"ReunionDe";"Reunion (ECS)";"1994 Grandslam";"458752";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Reunion";"OCS/ECS";"De";"";"";"";"";"reunion"
"NoError, EmulTrap";"836728";"R\Revelation\Revelation.Slave";"Revelation by Krisalis (c) 1991 - 1 disk.";"0";"Revelation";"Revelation";"1991 Krisalis";"528384";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"Revelation";"OCS/ECS";"";"";"";"";"";"revelation"
"Disk, NoError";"1814884";"R\RevengeOfDefender\RevengeOfDefender.slave";"Revenge Of Defender ? 1988 Epyx/Logotron.";"0";"RevengeOfDefender";"";"";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"RevengeOfDefender";"OCS/ECS";"";"";"";"";"";"revenge of defender"
"NoError";"274017";"R\RevengeOfMutantCamels\RevengeOfMutantCamels.Slave";"Revenge of the Mutant Camels (c) 1991 Jeff Minter.";"0";"RevengeOfMutantCamels";"Revenge of the Mutant Camels";"1991 Jeff Minter";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"RevengeOfMutantCamels";"OCS/ECS";"";"";"";"";"";"revenge of mutant camels the"
"NoError";"273979";"R\RevengeOfMutantCamelsNTSC\RevengeOfMutantCamelsNTSC.Slave";"Revenge of the Mutant Camels (c) 1991 Jeff Minter.";"0";"RevengeOfMutantCamelsNTSC";"Revenge of the Mutant Camels";"1991 Jeff Minter";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"RevengeOfMutantCamels";"OCS/ECS";"";"";"";"NTSC";"";"revenge of mutant camels the"
"NoError, EmulTrap, ClearMem";"142581";"R\RevengeOfMutantCamels2\RevengeOfMutantCamels2.Slave";"Revenge of the Mutant Camels 2 ? 1988 Mastertronic.";"0";"RevengeOfMutantCamels2";"Revenge of the Mutant Camels II";"1988 Mastertronic";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"RevengeOfMutantCamels2";"OCS/ECS";"";"";"";"";"";"revenge of mutant camels 2 the"
"NoError, ClearMem";"171952";"R\RickDangerous\RickDangerous.Slave";"Rick Dangerous ? 1990 Core Design.";"0";"RickDangerous";"Rick Dangerous";"1990 Core Design";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"RickDangerous";"OCS/ECS";"";"";"";"";"";"rick dangerous"
"NoError, EmulTrap";"914035";"R\RickDangerous2\RickDangerous2.slave";"Rick Dangerous 2 by Core Design (c) 1990 - 1 disk.";"0";"RickDangerous2";"Rick Dangerous 2";"1990 Core Design";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"RickDangerous2";"OCS/ECS";"";"";"";"";"";"rick dangerous 2"
"NoError, EmulTrap";"301863";"R\RickDangerous25\RickDangerous25.Slave";"Rick Dangerous 2 by Core Design (c) 1990 - 1 disk.";"0";"RickDangerous25";"Rick Dangerous 2";"1990 Core Design";"524288";"C:\Work\First Realize\amiga-whdload-game-scripts\aeb_whdload_packs\games_whdload\combined";"RickDangerous25";"OCS/ECS";"";"";"";"";"";"rick dangerous 25 2"
